iter	Passed	Remaining
413	3687	5219
414	3696	5210
415	3706	5203
416	3714	5193
417	3723	5184
418	3732	5175
419	3740	5165
420	3748	5154
421	3758	5147
422	3769	5141
423	3779	5134
424	3789	5126
425	3799	5118
426	3809	5111
427	3819	5104
428	3829	5097
429	3839	5089
430	3849	5081
431	3859	5074
432	3869	5067
433	3879	5059
434	3890	5052
435	3900	5045
436	3910	5037
437	3920	5030
438	3929	5021
439	3940	5015
440	3951	5008
441	3963	5003
442	3970	4992
443	3981	4985
444	3991	4978
445	4002	4971
446	4012	4964
447	4020	4954
448	4029	4945
449	4040	4937
450	4049	4929
451	4059	4922
452	4069	4913
453	4079	4906
454	4089	4898
455	4099	4891
456	4110	4884
457	4119	4875
458	4127	4865
459	4138	4857
460	4147	4849
461	4158	4842
462	4168	4834
463	4179	4828
464	4191	4822
465	4200	4813
466	4210	4805
467	4219	4796
468	4228	4787
469	4237	4778
470	4247	4769
471	4256	4761
472	4265	4752
473	4274	4743
474	4285	4737
475	4296	4729
476	4304	4719
477	4314	4711
478	4324	4704
479	4335	4696
480	4344	4687
481	4352	4678
482	4363	4670
483	4371	4660
484	4381	4652
485	4391	4644
486	4401	4635
487	4410	4627
488	4422	4621
489	4432	4613
490	4443	4606
491	4455	4600
492	4464	4591
493	4474	4582
494	4484	4575
495	4493	4566
496	4504	4558
497	4515	4551
498	4525	4543
499	4536	4536
500	4545	4526
501	4554	4518
502	4565	4510
503	4572	4499
504	4582	4491
505	4592	4483
506	4602	4475
507	4613	4467
508	4622	4459
509	4632	4451
510	4642	4442
511	4653	4435
512	4662	4426
513	4674	4420
514	4686	4413
515	4697	4405
516	4707	4398
517	4717	4389
518	4727	4380
519	4736	4371
520	4745	4362
521	4754	4354
522	4765	4346
523	4775	4338
524	4785	4329
525	4795	4321
526	4805	4313
527	4816	4305
528	4825	4296
529	4835	4287
530	4844	4278
531	4854	4270
532	4863	4261
533	4872	4252
534	4883	4244
535	4893	4236
536	4903	4227
537	4914	4220
538	4924	4211
539	4935	4204
540	4945	4195
541	4955	4187
542	4964	4178
543	4973	4169
544	4984	4161
545	4994	4153
546	5005	4144
547	5014	4136
548	5024	4127
549	5035	4119
550	5044	4110
551	5054	4102
552	5065	4094
553	5075	4086
554	5086	4078
555	5095	4069
556	5105	4060
557	5115	4052
558	5125	4043
559	5134	4034
560	5145	4026
561	5155	4018
562	5165	4009
563	5175	4001
564	5186	3993
565	5196	3984
566	5206	3976
567	5217	3968
568	5227	3959
569	5235	3949
570	5245	3941
571	5254	3931
572	5264	3922
573	5273	3913
574	5283	3904
575	5292	3895
576	5302	3887
577	5312	3878
578	5323	3870
579	5333	3862
580	5344	3854
581	5355	3846
582	5365	3837
583	5374	3828
584	5384	3820
585	5396	3812
586	5408	3804
587	5419	3797
588	5430	3789
589	5441	3781
590	5451	3772
591	5461	3763
592	5471	3755
593	5481	3746
594	5492	3738
595	5501	3729
596	5512	3720
597	5522	3712
598	5529	3702
599	5540	3693
600	5551	3685
601	5561	3676
602	5570	3667
603	5580	3658
604	5590	3650
605	5600	3640
606	5610	3632
607	5619	3623
608	5629	3614
609	5641	3606
610	5651	3597
611	5661	3589
612	5671	3580
613	5682	3572
614	5691	3562
615	5702	3554
616	5711	3545
617	5721	3536
618	5730	3527
619	5739	3517
620	5750	3509
621	5759	3500
622	5769	3491
623	5779	3482
624	5788	3473
625	5799	3465
626	5810	3456
627	5818	3446
628	5828	3438
629	5836	3427
630	5845	3418
631	5855	3409
632	5864	3400
633	5874	3391
634	5885	3383
635	5895	3374
636	5905	3365
637	5913	3355
638	5921	3345
639	5930	3335
640	5939	3326
641	5948	3317
642	5958	3308
643	5967	3298
644	5976	3289
645	5984	3279
646	5994	3270
647	6002	3260
648	6011	3251
649	6020	3241
650	6029	3232
651	6040	3224
652	6051	3215
653	6062	3207
654	6072	3198
655	6081	3189
656	6092	3180
657	6102	3171
658	6112	3163
659	6123	3154
660	6134	3145
661	6144	3137
662	6155	3128
663	6165	3120
664	6175	3110
665	6184	3101
666	6194	3092
667	6205	3084
668	6215	3075
669	6226	3066
670	6236	3057
671	6245	3048
672	6256	3039
673	6266	3031
674	6276	3022
675	6286	3013
676	6297	3004
677	6306	2995
678	6317	2986
679	6327	2977
680	6338	2969
681	6345	2958
682	6351	2947
683	6360	2938
684	6367	2928
685	6377	2919
686	6388	2910
687	6397	2901
688	6406	2891
689	6415	2882
690	6424	2872
691	6432	2863
692	6443	2854
693	6451	2844
694	6461	2835
695	6469	2825
696	6479	2816
697	6489	2807
698	6497	2798
699	6506	2788
700	6517	2779
701	6527	2771
702	6537	2761
703	6546	2752
704	6554	2742
705	6564	2733
706	6574	2724
707	6583	2715
708	6591	2705
709	6602	2696
710	6613	2688
711	6623	2679
712	6634	2670
713	6645	2661
714	6654	2652
715	6664	2643
716	6673	2634
717	6682	2624
718	6691	2615
719	6701	2606
720	6712	2597
721	6721	2588
722	6730	2578
723	6740	2569
724	6749	2560
725	6759	2551
726	6769	2542
727	6780	2533
728	6790	2524
