iter	Logloss
0	0.6898244917
1	0.6866389256
2	0.6836196306
3	0.6812904316
4	0.6792511826
5	0.6771950006
6	0.674963852
7	0.6733688643
8	0.671845142
9	0.6703142223
10	0.6694551137
11	0.6683148029
12	0.6674965475
13	0.66697641
14	0.6660459668
15	0.6650978976
16	0.6644069661
17	0.6636792106
18	0.6629467972
19	0.6618516392
20	0.6612670269
21	0.6603946026
22	0.6598168549
23	0.6592532677
24	0.6586656494
25	0.6581196031
26	0.6576331813
27	0.657269502
28	0.656831642
29	0.656472355
30	0.6561091318
31	0.6557035707
32	0.6552147384
33	0.6548872245
34	0.6545158521
35	0.654086126
36	0.6535797262
37	0.6531173307
38	0.6528022266
39	0.6524404647
40	0.6518187615
41	0.6513946399
42	0.6510322651
43	0.6506932566
44	0.6501672071
45	0.6497999945
46	0.6495018658
47	0.6492858218
48	0.648928712
49	0.6485268997
50	0.6480446908
51	0.6478330931
52	0.6473147244
53	0.6469310748
54	0.6466542548
55	0.6461294563
56	0.6458198097
57	0.6456147642
58	0.6453603956
59	0.6451400482
60	0.6447928077
61	0.6441793295
62	0.6437840578
63	0.643536704
64	0.6433063603
65	0.6430520197
66	0.6427188578
67	0.6423456232
68	0.6420890675
69	0.641886721
70	0.641428764
71	0.6409719948
72	0.6405702437
73	0.6397988014
74	0.6395559473
75	0.6391161437
76	0.6387790025
77	0.6384486729
78	0.638145413
79	0.6375294234
80	0.6371731309
81	0.6368980753
82	0.636621349
83	0.6364330993
84	0.636264563
85	0.6359597521
86	0.6357484552
87	0.6354012759
88	0.6350959441
89	0.6346576109
90	0.6344829327
91	0.6341051376
92	0.6338473334
93	0.6337119326
94	0.6333449702
95	0.6327690163
96	0.6324260133
97	0.6322723604
98	0.6319414762
99	0.6317179211
100	0.631367401
101	0.6310575097
102	0.6306631368
103	0.6304339005
104	0.6300690875
105	0.6295739282
106	0.6294188459
107	0.6289775255
108	0.628400981
109	0.6281868217
110	0.6280105
111	0.6275944576
112	0.6272244823
113	0.6269740168
114	0.6267596629
115	0.6263653415
116	0.6261010439
117	0.6259538437
118	0.6255624619
119	0.6253467963
120	0.6249668974
121	0.6246557919
122	0.6243687571
123	0.6239810852
124	0.6235540124
125	0.6232635488
126	0.6227128861
127	0.622280887
128	0.6221102932
129	0.6217788043
130	0.6214644707
131	0.6212292109
132	0.6207924157
133	0.6203519968
134	0.6199674899
135	0.6195796536
